,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
329,2018-06-28,1,1,1,0,2,0,-1,4,4,1,3,1,2,2
330,2018-06-29,0,0,0,1,2,1,1,2,2,1,4,1,3,2
331,2018-07-02,1,0,1,0,0,0,1,3,2,0,0,-1,5,5
332,2018-07-03,0,0,0,1,2,1,-1,5,5,1,1,-1,3,2
333,2018-07-04,0,0,0,-1,3,4,-1,3,2,0,2,0,1,0
334,2018-07-05,-1,0,1,-1,3,4,0,1,0,0,3,0,1,0
335,2018-07-06,1,1,1,0,1,0,0,1,0,0,4,1,3,1
336,2018-07-09,0,1,0,1,2,4,1,3,1,0,0,1,3,5
337,2018-07-10,0,0,0,0,0,0,1,3,5,0,1,-1,2,3
338,2018-07-11,0,0,0,0,0,0,-1,2,3,0,2,1,2,2
339,2018-07-12,0,0,0,0,1,0,1,2,2,0,3,1,3,5
340,2018-07-16,0,0,0,1,2,3,1,3,5,0,0,-1,2,3
341,2018-07-17,-1,1,1,0,0,0,-1,2,3,0,1,-1,2,3
342,2018-07-18,-1,1,1,1,3,3,-1,2,3,0,2,0,2,0
343,2018-07-19,0,0,0,0,0,0,0,2,0,0,3,0,1,0
344,2018-07-20,0,0,0,0,0,0,0,1,0,0,4,1,5,1
345,2018-07-23,1,2,2,0,1,0,1,5,1,0,0,1,2,2
346,2018-07-24,0,0,0,1,1,1,1,2,2,0,1,1,2,5
347,2018-07-25,0,0,0,0,2,0,1,2,5,0,2,-1,1,2
348,2018-07-26,0,0,0,1,1,2,-1,1,2,0,3,-1,2,3
349,2018-07-27,0,0,0,0,0,0,-1,2,3,0,4,0,1,0
350,2018-07-30,0,0,0,-1,4,4,0,1,0,0,0,0,2,0
351,2018-07-31,0,0,0,-1,3,3,0,2,0,0,1,0,1,0
352,2018-08-01,0,2,0,1,1,1,0,1,0,0,2,-1,4,3
353,2018-08-02,0,0,0,0,1,0,-1,4,3,0,3,-1,4,5
354,2018-08-03,-1,0,1,1,4,5,-1,4,5,0,4,-1,2,2
355,2018-08-06,0,0,0,0,0,0,-1,2,2,0,0,0,2,0
