Date,股票代码,名称,Close,High,Low,Open,Volume
2018-07-05,'399300,沪深300,3342.4379,3398.4852,3330.7113,3365.5547,8158798100
2018-07-04,'399300,沪深300,3363.7473,3418.3311,3359.0861,3398.7788,7515799700
2018-07-03,'399300,沪深300,3409.2801,3422.0398,3319.2889,3410.4767,9527869300
2018-07-02,'399300,沪深300,3407.9638,3506.8996,3383.5006,3504.4571,8435144900
2018-06-29,'399300,沪深300,3510.9845,3512.3834,3425.2159,3431.9619,7725703100
2018-06-28,'399300,沪深300,3423.5255,3477.0565,3416.9476,3434.9441,7591805100
2018-06-27,'399300,沪深300,3459.2621,3537.6569,3441.785,3525.1323,8149181700
2018-06-26,'399300,沪深300,3531.1112,3541.782,3478.2134,3521.5876,8498526900
2018-06-25,'399300,沪深300,3560.4777,3631.0253,3559.0343,3625.7984,7987707800
2018-06-22,'399300,沪深300,3608.9046,3609.0751,3542.4564,3567.8939,7511786400
2018-06-21,'399300,沪深300,3592.965,3673.5625,3589.4899,3633.5558,9390855200
2018-06-20,'399300,沪深300,3635.4436,3649.3359,3578.1743,3602.5512,8671809800
2018-06-19,'399300,沪深300,3621.1166,3712.8162,3583.0208,3702.6681,16070654200
2018-06-15,'399300,沪深300,3753.4338,3780.3368,3737.4282,3763.0405,8548889300
2018-06-14,'399300,沪深300,3773.3655,3808.1616,3759.2484,3774.6396,6847132200
2018-06-13,'399300,沪深300,3788.3391,3817.4528,3782.0728,3814.6174,6637797000
2018-06-12,'399300,沪深300,3825.9534,3830.471,3765.2644,3783.1858,7320624400
2018-06-11,'399300,沪深300,3779.9818,3792.548,3756.5148,3770.208,6870983400
